"Date,Open,High,Low,Close,Adj Close,Volume"
"10/4/2021,48208.90625,49456.77734,47045.00391,49112.90234,49112.90234,33383173002"
"10/5/2021,49174.96094,51839.98438,49072.83984,51514.8125,51514.8125,35873904236"
"10/6/2021,51486.66406,55568.46484,50488.19141,55361.44922,55361.44922,49034730168"
"10/7/2021,55338.625,55338.625,53525.46875,53805.98438,53805.98438,36807860413"
"10/8/2021,53802.14453,55922.98047,53688.05469,53967.84766,53967.84766,34800873924"
"10/9/2021,53929.78125,55397.94531,53735.14453,54968.22266,54968.22266,32491211414"
"10/10/2021,54952.82031,56401.30469,54264.25781,54771.57813,54771.57813,39527792364"
"10/11/2021,54734.125,57793.03906,54519.76563,57484.78906,57484.78906,42637331698"
"10/12/2021,57526.83203,57627.87891,54477.97266,56041.05859,56041.05859,41083758949"
"10/13/2021,56038.25781,57688.66016,54370.97266,57401.09766,57401.09766,41684252783"
"10/14/2021,57372.83203,58478.73438,56957.07422,57321.52344,57321.52344,36615791366"
"10/15/2021,57345.90234,62757.12891,56868.14453,61593.94922,61593.94922,51780081801"
"10/16/2021,61609.52734,62274.47656,60206.12109,60892.17969,60892.17969,34250964237"
"10/17/2021,60887.65234,61645.52344,59164.46875,61553.61719,61553.61719,29032367511"
"10/18/2021,61548.80469,62614.66016,60012.75781,62026.07813,62026.07813,38055562075"
"10/19/2021,62043.16406,64434.53516,61622.93359,64261.99219,64261.99219,40471196346"
"10/20/2021,64284.58594,66930.39063,63610.67578,65992.83594,65992.83594,40788955582"
"10/21/2021,66002.23438,66600.54688,62117.41016,62210.17188,62210.17188,45908121370"
"10/22/2021,62237.89063,63715.02344,60122.79688,60692.26563,60692.26563,38434082775"
"10/23/2021,60694.62891,61743.87891,59826.52344,61393.61719,61393.61719,26882546034"
"10/24/2021,61368.34375,61505.80469,59643.34375,60930.83594,60930.83594,27316183882"
"10/25/2021,60893.92578,63729.32422,60691.80078,63039.82422,63039.82422,31064911614"
"10/26/2021,63032.76172,63229.02734,59991.16016,60363.79297,60363.79297,34878965587"
"10/27/2021,60352,61435.18359,58208.1875,58482.38672,58482.38672,43657076893"
"10/28/2021,58470.73047,62128.63281,58206.91797,60622.13672,60622.13672,45257083247"
"10/29/2021,60624.87109,62927.60938,60329.96484,62227.96484,62227.96484,36856881767"
"10/30/2021,62239.36328,62330.14453,60918.38672,61888.83203,61888.83203,32157938616"
"10/31/2021,61850.48828,62406.17188,60074.32813,61318.95703,61318.95703,32241199927"
"11/1/2021,61320.44922,62419.00391,59695.18359,61004.40625,61004.40625,36150572843"
"11/2/2021,60963.25391,64242.79297,60673.05469,63226.40234,63226.40234,37746665647"
"11/3/2021,63254.33594,63516.9375,61184.23828,62970.04688,62970.04688,36124731509"
"11/4/2021,62941.80469,63123.28906,60799.66406,61452.23047,61452.23047,32615846901"
"11/5/2021,61460.07813,62541.46875,60844.60938,61125.67578,61125.67578,30605102446"
"11/6/2021,61068.875,61590.68359,60163.78125,61527.48047,61527.48047,29094934221"
"11/7/2021,61554.92188,63326.98828,61432.48828,63326.98828,63326.98828,24726754302"
"11/8/2021,63344.06641,67673.74219,63344.06641,67566.82813,67566.82813,41125608330"
"11/9/2021,67549.73438,68530.33594,66382.0625,66971.82813,66971.82813,42357991721"
"11/10/2021,66953.33594,68789.625,63208.11328,64995.23047,64995.23047,48730828378"
"11/11/2021,64978.89063,65579.01563,64180.48828,64949.96094,64949.96094,35880633236"
"11/12/2021,64863.98047,65460.81641,62333.91406,64155.94141,64155.94141,36084893887"
"11/13/2021,64158.12109,64915.67578,63303.73438,64469.52734,64469.52734,30474228777"
"11/14/2021,64455.37109,65495.17969,63647.80859,65466.83984,65466.83984,25122092191"
"11/15/2021,65521.28906,66281.57031,63548.14453,63557.87109,63557.87109,30558763548"
"11/16/2021,63721.19531,63721.19531,59016.33594,60161.24609,60161.24609,46844335592"
"11/17/2021,60139.62109,60823.60938,58515.41016,60368.01172,60368.01172,39178392930"
"11/18/2021,60360.13672,60948.5,56550.79297,56942.13672,56942.13672,41388338699"
"11/19/2021,56896.12891,58351.11328,55705.17969,58119.57813,58119.57813,38702407772"
"11/20/2021,58115.08203,59859.87891,57469.72656,59697.19531,59697.19531,30624264863"
"11/21/2021,59730.50781,60004.42578,58618.92969,58730.47656,58730.47656,26123447605"
"11/22/2021,58706.84766,59266.35938,55679.83984,56289.28906,56289.28906,35036121783"
"11/23/2021,56304.55469,57875.51563,55632.76172,57569.07422,57569.07422,37485803899"
"11/24/2021,57565.85156,57803.06641,55964.22266,56280.42578,56280.42578,36635566789"
"11/25/2021,57165.41797,59367.96875,57146.68359,57274.67969,57274.67969,34284016248"
"11/26/2021,58960.28516,59183.48047,53569.76563,53569.76563,53569.76563,41810748221"
"11/27/2021,53736.42969,55329.25781,53668.35547,54815.07813,54815.07813,30560857714"
"11/28/2021,54813.02344,57393.84375,53576.73438,57248.45703,57248.45703,28116886357"
"11/29/2021,57291.90625,58872.87891,56792.52734,57806.56641,57806.56641,32370840356"
"11/30/2021,57830.11328,59113.40234,56057.28125,57005.42578,57005.42578,36708594618"
